training_data_path;omit_saturated_values;batch_size;num_epochs;early_stopping;patience;num_iterations_per_config;leaky_relu;layer_configuration;trainable_count;non_trainable_count;loss;mean_absolute_error;trained_epochs;min_loss;min_mean_absolute_error;max_trained_epochs
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[16, 16, 1];337;0.0;[0.8586832284927368, 0.839882493019104, 1.3288514614105225, 2.2000041007995605, 1.1899257898330688];[0.5573786497116089, 0.5423880815505981, 0.7330902814865112, 0.89454585313797, 0.6685160994529724];[500, 500, 500, 500, 500];0.839882493019104;0.5423880815505981;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[16, 'pa', 16, 1];209;0.0;[1.1243245601654053, 0.9238694310188293, 5.866770267486572, 2.841233015060425, 3.359581232070923];[0.7013033032417297, 0.5682940483093262, 1.271673560142517, 0.9824917912483215, 0.8058159947395325];[500, 500, 500, 500, 500];0.9238694310188293;0.5682940483093262;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[16, 'pm', 16, 1];209;0.0;[1.930846929550171, 1.3231558799743652, 1.5569958686828613, 2.009826421737671, 2.788679361343384];[0.8194867372512817, 0.7688659429550171, 0.7657907605171204, 0.7083374857902527, 0.9778940081596375];[500, 500, 500, 500, 500];1.3231558799743652;0.7083374857902527;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[14, 14, 1];267;0.0;[0.9570016264915466, 0.6745685935020447, 2.8971152305603027, 3.083148717880249, 1.700176477432251];[0.5717892646789551, 0.520175576210022, 0.99918133020401, 1.0458674430847168, 0.8654014468193054];[500, 500, 500, 500, 500];0.6745685935020447;0.520175576210022;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[14, 'pa', 14, 1];169;0.0;[1.6903009414672852, 3.004840612411499, 1.7670037746429443, 1.551506519317627, 3.2880148887634277];[0.7498379349708557, 0.995303750038147, 0.7432594895362854, 0.7551620006561279, 1.1174325942993164];[500, 500, 500, 500, 500];1.551506519317627;0.7432594895362854;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[14, 'pm', 14, 1];169;0.0;[1.405029058456421, 2.1690633296966553, 2.222079038619995, 9.647919654846191, 1.29842209815979];[0.7477844953536987, 0.875053346157074, 0.9553855657577515, 1.918930172920227, 0.6736440658569336];[500, 500, 500, 500, 500];1.29842209815979;0.6736440658569336;500
