training_data_path;omit_saturated_values;batch_size;num_epochs;early_stopping;patience;num_iterations_per_config;leaky_relu;layer_configuration;trainable_count;non_trainable_count;loss;mean_absolute_error;trained_epochs;min_loss;min_mean_absolute_error;max_trained_epochs
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[16, 10, 6, 1];291;0.0;[0.52308189868927, 1.3107995986938477, 0.5721858143806458, 0.7447813749313354, 0.8397138714790344];[0.45332783460617065, 0.7205043435096741, 0.4632805585861206, 0.5575119853019714, 0.5828202962875366];[500, 500, 500, 500, 500];0.52308189868927;0.45332783460617065;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[14, 6, 4, 1];165;0.0;[1.294358253479004, 1.0177655220031738, 1.2134441137313843, 1.3879587650299072, 1.4870631694793701];[0.767711877822876, 0.6273691058158875, 0.6923542022705078, 0.7396018505096436, 0.7374839782714844];[500, 500, 500, 500, 500];1.0177655220031738;0.6273691058158875;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[12, 6, 4, 1];147;0.0;[1.2788413763046265, 3.6967856884002686, 1.5279537439346313, 1.2383519411087036, 2.940110445022583];[0.8121762275695801, 1.1832139492034912, 0.7511960864067078, 0.6796004772186279, 0.9753826260566711];[500, 500, 500, 500, 500];1.2383519411087036;0.6796004772186279;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[8, 6, 4, 1];111;0.0;[2.5164403915405273, 4.193734645843506, 3.258901596069336, 2.478032350540161, 1.3061881065368652];[0.9921737313270569, 1.2929545640945435, 1.084001064300537, 0.9983557462692261, 0.7373350858688354];[500, 500, 500, 500, 500];1.3061881065368652;0.7373350858688354;500
../TrainingData/ideal_dchg.csv;True;64;500;False;8;5;True;[8, 4, 2, 1];73;0.0;[10.57694149017334, 40.7846565246582, 3.003016471862793, 2.4576568603515625, 4.1730499267578125];[2.081448793411255, 4.289168357849121, 1.053391695022583, 1.0245617628097534, 1.286173701286316];[500, 500, 500, 500, 500];2.4576568603515625;1.0245617628097534;500
