training_data_path;omit_saturated_values;batch_size;num_epochs;early_stopping;patience;num_iterations_per_config;layer_configuration;trainable_count;non_trainable_count;loss;mean_absolute_error;trained_epochs;min_loss;min_mean_absolute_error;max_trained_epochs
../TrainingData/ideal_dchg.csv;True;64;500;False;13;5;[2, 12];205;0.0;[40.753013610839844, 1.263873815536499, 0.9203372001647949, 0.9253178834915161, 0.9877761006355286];[4.374220848083496, 0.6682803630828857, 0.618493378162384, 0.6245432496070862, 0.6322466731071472];[500, 500, 500, 500, 500];0.9203372001647949;0.618493378162384;500
../TrainingData/ideal_dchg.csv;True;64;500;False;13;5;[2, 16];337;0.0;[3.2364635467529297, 1.4806679487228394, 0.861514687538147, 0.5815922617912292, 0.6432222723960876];[1.2135587930679321, 0.5772862434387207, 0.5750337243080139, 0.4781542420387268, 0.5489988923072815];[500, 500, 500, 500, 500];0.5815922617912292;0.4781542420387268;500
../TrainingData/ideal_dchg.csv;True;64;500;False;13;5;[2, 4, 2, 8];209;0.0;[2.6165807247161865, 1.6971946954727173, 1.7745099067687988, 1.6119087934494019, 1.697968602180481];[1.0759601593017578, 0.8265158534049988, 0.8552892208099365, 0.8018912672996521, 0.7946659922599792];[500, 500, 500, 500, 500];1.6119087934494019;0.7946659922599792;500
../TrainingData/ideal_dchg.csv;True;64;500;False;13;5;[1, 4, 2, 12];293;0.0;[2.080944538116455, 2.300341844558716, 1.4075058698654175, 1.5939867496490479, 0.9152947068214417];[0.8419855833053589, 0.9704986214637756, 0.8234264850616455, 0.971981406211853, 0.6525710821151733];[500, 500, 500, 500, 500];0.9152947068214417;0.6525710821151733;500
../TrainingData/ideal_dchg.csv;True;64;500;False;13;5;[2, 8, 2, 8];393;0.0;[3.6595468521118164, 3.659170627593994, 2.430276870727539, 2.770576238632202, 2.657695770263672];[1.2790268659591675, 1.291285514831543, 0.978449821472168, 1.1738511323928833, 1.0227257013320923];[500, 500, 500, 500, 500];2.430276870727539;0.978449821472168;500
