training_data_path;omit_saturated_values;batch_size;num_epochs;early_stopping;patience;num_iterations_per_config;leaky_relu;layer_configuration;trainable_count;non_trainable_count;loss;mean_absolute_error;trained_epochs;min_loss;min_mean_absolute_error;max_trained_epochs
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[16, 8, 4, 1];225;0.0;[1303.187255859375, 1307.120849609375, 1304.7647705078125];[28.124069213867188, 27.6008243560791, 27.69980239868164];[500, 500, 500];1303.187255859375;27.6008243560791;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[14, 8, 4, 1];203;0.0;[3.713078498840332, 1.7415525913238525, 1.8258543014526367];[1.3740280866622925, 1.047249674797058, 1.0608352422714233];[500, 500, 500];1.7415525913238525;1.047249674797058;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[16, 10, 6, 1];291;0.0;[6.467054843902588, 5.22197151184082, 6.4047722816467285];[1.8149335384368896, 1.762247085571289, 1.7892366647720337];[500, 500, 500];5.22197151184082;1.762247085571289;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[14, 6, 4, 1];165;0.0;[25.751262664794922, 23.016756057739258, 25.512603759765625];[4.049031734466553, 3.656466245651245, 4.02139139175415];[500, 500, 500];23.016756057739258;3.656466245651245;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[12, 6, 4, 1];147;0.0;[61.50631332397461, 63.883888244628906, 64.74532318115234];[5.765422821044922, 6.325435638427734, 6.384803771972656];[500, 500, 500];61.50631332397461;5.765422821044922;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[8, 6, 4, 1];111;0.0;[1302.87890625, 1302.9779052734375, 1302.04736328125];[27.820396423339844, 27.780757904052734, 27.9414005279541];[500, 500, 500];1302.04736328125;27.780757904052734;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[8, 4, 2, 1];73;0.0;[1304.4561767578125, 1307.2630615234375, 1302.67236328125];[28.240468978881836, 27.602340698242188, 28.08506965637207];[500, 500, 500];1302.67236328125;27.602340698242188;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[16, 16, 1];337;0.0;[11.368339538574219, 11.16650676727295, 10.672677993774414];[2.4476397037506104, 2.6846187114715576, 2.54201340675354];[500, 500, 500];10.672677993774414;2.4476397037506104;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[14, 14, 1];267;0.0;[10.561513900756836, 6.184584140777588, 5.070775508880615];[2.467501401901245, 2.040717601776123, 1.7310117483139038];[500, 500, 500];5.070775508880615;1.7310117483139038;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[16, 'pa', 16, 1];209;0.0;[5.404959201812744, 5.928976058959961, 3.5195748805999756];[1.7505735158920288, 1.8268569707870483, 1.3646936416625977];[500, 500, 500];3.5195748805999756;1.3646936416625977;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[16, 'pm', 16, 1];209;0.0;[3.2537572383880615, 1.8335994482040405, 1.2530794143676758];[1.2499942779541016, 1.1056323051452637, 0.8950678110122681];[500, 500, 500];1.2530794143676758;0.8950678110122681;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[14, 14, 1];267;0.0;[2.9853451251983643, 2.8193371295928955, 4.928321361541748];[1.3086459636688232, 1.2785327434539795, 1.5432348251342773];[500, 500, 500];2.8193371295928955;1.2785327434539795;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[14, 'pa', 14, 1];169;0.0;[10.608282089233398, 11.095906257629395, 10.514010429382324];[2.575274705886841, 2.437901258468628, 2.4445271492004395];[500, 500, 500];10.514010429382324;2.437901258468628;500
../TrainingData/ideal_chg.csv;True;64;500;False;8;3;False;[14, 'pm', 14, 1];169;0.0;[1.8297972679138184, 1.8026220798492432, 1.1893407106399536];[0.9953795671463013, 1.0330479145050049, 0.8970269560813904];[500, 500, 500];1.1893407106399536;0.8970269560813904;500
