Time;Input;Output;glbl_monitor[0]
0.0225002170;-0.4917562008;-0.2145619392;0.2000000477;0
0.0225210506;0;-0.3113093376;0.2000000477;0
0.0225418843;0.4917562008;-0.3868415356;0.2000000477;0
0.0225627180;0.9500000477;-0.436011076;0.2000000477;0
0.0225835517;1.343502998;-0.4554672241;0.2000000477;0
0.0226043854;1.645448208;-0.4438841343;0.2000000477;0
0.0226252191;1.835259199;-0.4020512104;0.2000000477;0
0.0226460528;1.900000095;-0.3328192234;0.2000000477;0
0.0226668864;1.835259199;-0.2409060001;0.2000000477;0
0.0226877201;1.645448208;-0.1325755119;0.2000000477;0
0.0227085538;1.343502998;-0.01521039009;0.2000000477;0
0.0227293875;0.9500000477;0.1031913757;0.2000000477;0
0.0227502212;0.4917562008;0.2145609856;0.2000000477;0
0.0227710549;0;0.3113086224;0.2000000477;0
0.0227918886;-0.4917562008;0.3868410587;0.2000000477;0
0.0228127223;-0.9500000477;0.4360108376;0.2000000477;0
0.0228335559;-1.34350276;0.4554672241;0.2000000477;0
0.0228543896;-1.645448208;0.4438843727;0.2000000477;0
0.0228752233;-1.835258961;0.4020516872;0.2000000477;0
0.0228960570;-1.899999857;0.3328199387;0.2000000477;0
0.0229168907;-1.835258961;0.2409069538;0.2000000477;0
0.0229377244;-1.645448208;0.132576704;0.2000000477;0
0.0229585581;-1.34350276;0.0152118206;0.2000000477;0
0.0229793917;-0.9500000477;-0.1031897068;0.2000000477;0
0.0230002254;-0.4917562008;-0.2145590782;0.2000000477;0
0.0230210591;0;-0.3113064766;0.2000000477;0
0.0230418928;0.4917562008;-0.3868386745;0.2000000477;0
0.0230627265;0.9500000477;-0.4360084534;0.2000000477;0
0.0230835602;1.343502998;-0.4554648399;0.2000000477;0
0.0231043939;1.645448208;-0.4438819885;0.2000000477;0
0.0231252275;1.835259199;-0.4020493031;0.2000000477;0
0.0231460612;1.900000095;-0.3328175545;0.2000000477;0
0.0231668949;1.835259199;-0.2409045696;0.2000000477;0
0.0231877286;1.645448208;-0.1325743198;0.2000000477;0
0.0232085623;1.343502998;-0.01520943642;0.2000000477;0
0.0232293960;0.9500000477;0.103192091;0.2000000477;0
0.0232502297;0.4917562008;0.2145614624;0.2000000477;0
0.0232710633;0;0.3113088608;0.2000000477;0
0.0232918970;-0.4917562008;0.3868410587;0.2000000477;0
0.0233127307;-0.9500000477;0.4360105991;0.2000000477;0
0.0233335644;-1.34350276;0.4554667473;0.2000000477;0
0.0233543981;-1.645448208;0.4438836575;0.2000000477;0
0.0233752318;-1.835258961;0.4020507336;0.2000000477;0
0.0233960655;-1.899999857;0.3328187466;0.2000000477;0
0.0234168991;-1.835258961;0.2409055233;0.2000000477;0
0.0234377328;-1.645448208;0.1325750351;0.2000000477;0
0.0234585665;-1.34350276;0.01520991325;0.2000000477;0
0.0234794002;-0.9500000477;-0.1031918526;0.2000000477;0
0.0235002339;-0.4917562008;-0.2145614624;0.2000000477;0
0.0235210676;0;-0.3113090992;0.2000000477;0
0.0235419013;0.4917562008;-0.3868415356;0.2000000477;0
0.0235627349;0.9500000477;-0.4360113144;0.2000000477;0
0.0235835686;1.343502998;-0.455467701;0.2000000477;0
0.0236044023;1.645448208;-0.4438848495;0.2000000477;0
0.0236252360;1.835259199;-0.4020521641;0.2000000477;0
0.0236460697;1.900000095;-0.3328204155;0.2000000477;0
0.0236669034;1.835259199;-0.2409074306;0.2000000477;0
0.0236877371;1.645448208;-0.1325771809;0.2000000477;0
0.0237085707;1.343502998;-0.01521205902;0.2000000477;0
0.0237294044;0.9500000477;0.1031897068;0.2000000477;0
0.0237502381;0.4917562008;0.2145593166;0.2000000477;0
0.0237710718;0;0.3113069534;0.2000000477;0
0.0237919055;-0.4917562008;0.3868393898;0.2000000477;0
0.0238127392;-0.9500000477;0.4360091686;0.2000000477;0
0.0238335729;-1.34350276;0.4554655552;0.2000000477;0
0.0238544066;-1.645448208;0.4438827038;0.2000000477;0
0.0238752402;-1.835258961;0.4020500183;0.2000000477;0
0.0238960739;-1.899999857;0.3328182697;0.2000000477;0
0.0239169076;-1.835258961;0.2409052849;0.2000000477;0
0.0239377413;-1.645448208;0.1325750351;0.2000000477;0
0.0239585750;-1.34350276;0.01521015167;0.2000000477;0
0.0239794087;-0.9500000477;-0.1031913757;0.2000000477;0
0.0240002424;-0.4917562008;-0.2145607471;0.2000000477;0
0.0240210760;0;-0.3113081455;0.2000000477;0
0.0240419097;0.4917562008;-0.3868403435;0.2000000477;0
0.0240627434;0.9500000477;-0.4360098839;0.2000000477;0
0.0240835771;1.343502998;-0.455466032;0.2000000477;0
0.0241044108;1.645448208;-0.4438829422;0.2000000477;0
0.0241252445;1.835259199;-0.4020500183;0.2000000477;0
0.0241460782;1.900000095;-0.3328180313;0.2000000477;0
0.0241669118;1.835259199;-0.240904808;0.2000000477;0
0.0241877455;1.645448208;-0.1325743198;0.2000000477;0
0.0242085792;1.343502998;-0.015209198;0.2000000477;0
0.0242294129;0.9500000477;0.1031923294;0.2000000477;0
0.0242502466;0.4917562008;0.2145617008;0.2000000477;0
0.0242710803;0;0.3113090992;0.2000000477;0
0.0242919140;-0.4917562008;0.3868412971;0.2000000477;0
0.0243127476;-0.9500000477;0.4360108376;0.2000000477;0
0.0243335813;-1.34350276;0.4554669857;0.2000000477;0
0.0243544150;-1.645448208;0.4438838959;0.2000000477;0
0.0243752487;-1.835258961;0.402050972;0.2000000477;0
0.0243960824;-1.899999857;0.332818985;0.2000000477;0
0.0244169161;-1.835258961;0.2409057617;0.2000000477;0
0.0244377498;-1.645448208;0.1325752735;0.2000000477;0
0.0244585834;-1.34350276;0.01521015167;0.2000000477;0
0.0244794171;-0.9500000477;-0.1031916142;0.2000000477;0
0.0245002508;-0.4917562008;-0.214561224;0.2000000477;0
0.0245210845;0;-0.3113088608;0.2000000477;0
0.0245419182;0.4917562008;-0.3868412971;0.2000000477;0
0.0245627519;0.9500000477;-0.436011076;0.2000000477;0
0.0245835856;1.343502998;-0.4554674625;0.2000000477;0
0.0246044192;1.645448208;-0.4438846111;0.2000000477;0
0.0246252529;1.835259199;-0.4020519257;0.2000000477;0
0.0246460866;1.900000095;-0.3328201771;0.2000000477;0
0.0246669203;1.835259199;-0.2409071922;0.2000000477;0
0.0246877540;1.645448208;-0.1325769424;0.2000000477;0
0.0247085877;1.343502998;-0.0152118206;0.2000000477;0
0.0247294214;0.9500000477;0.1031899452;0.2000000477;0
0.0247502550;0.4917562008;0.2145595551;0.2000000477;0
0.0247710887;0;0.3113071918;0.2000000477;0
0.0247919224;-0.4917562008;0.3868396282;0.2000000477;0
0.0248127561;-0.9500000477;0.436009407;0.2000000477;0
0.0248335898;-1.34350276;0.4554657936;0.2000000477;0
0.0248544235;-1.645448208;0.4438829422;0.2000000477;0
0.0248752572;-1.835258961;0.4020502567;0.2000000477;0
0.0248960909;-1.899999857;0.3328185081;0.2000000477;0
0.0249169245;-1.835258961;0.2409055233;0.2000000477;0
0.0249377582;-1.645448208;0.1325752735;0.2000000477;0
0.0249585919;-1.34350276;0.01521039009;0.2000000477;0
0.0249794256;-0.9500000477;-0.1031911373;0.2000000477;0
0.0250002593;-0.4917562008;-0.2145605087;0.2000000477;0
0.0250210930;0;-0.3113079071;0.2000000477;0
0.0250419267;0.4917562008;-0.3868401051;0.2000000477;0
0.0250627603;0.9500000477;-0.4360096455;0.2000000477;0
0.0250835940;1.343502998;-0.4554657936;0.2000000477;0
0.0251044277;1.645448208;-0.4438827038;0.2000000477;0
0.0251252614;1.835259199;-0.4020497799;0.2000000477;0
0.0251460951;1.900000095;-0.3328177929;0.2000000477;0
0.0251669288;1.835259199;-0.2409045696;0.2000000477;0
0.0251877625;1.645448208;-0.1325740814;0.2000000477;0
0.0252085961;1.343502998;-0.01520895958;0.2000000477;0
0.0252294298;0.9500000477;0.1031925678;0.2000000477;0
0.0252502635;0.4917562008;0.2145619392;0.2000000477;0
0.0252710972;0;0.3113093376;0.2000000477;0
0.0252919309;-0.4917562008;0.3868415356;0.2000000477;0
0.0253127646;-0.9500000477;0.436011076;0.2000000477;0
