Time;Input;Output;glbl_monitor[0]
0.0213543642;1.411975145;1.217647076;0.2000000477;0
0.0213751979;1.428495646;1.236631632;0.2000000477;0
0.0213960316;1.44477129;1.255403996;0.2000000477;0
0.0214168653;1.460799456;1.273961067;0.2000000477;0
0.0214376990;1.476577282;1.292299986;0.2000000477;0
0.0214585327;1.492102146;1.310417652;0.2000000477;0
0.0214793663;1.507371426;1.328310966;0.2000000477;0
0.0215002000;1.522382259;1.34597683;0.2000000477;0
0.0215210337;1.537132263;1.363412142;0.2000000477;0
0.0215418674;1.551619053;1.380613804;0.2000000477;0
0.0215627011;1.565839767;1.397578955;0.2000000477;0
0.0215835348;1.579792261;1.414304733;0.2000000477;0
0.0216043685;1.59347415;1.430787802;0.2000000477;0
0.0216252021;1.606882811;1.447025299;0.2000000477;0
0.0216460358;1.620016336;1.463014603;0.2000000477;0
0.0216668695;1.632872105;1.47875309;0.2000000477;0
0.0216877032;1.645448208;1.494238138;0.2000000477;0
0.0217085369;1.6577425;1.509467125;0.2000000477;0
0.0217293706;1.669752598;1.524437428;0.2000000477;0
0.0217502043;1.681476593;1.539146423;0.2000000477;0
0.0217710380;1.69291234;1.553591728;0.2000000477;0
0.0217918716;1.70405817;1.567770958;0.2000000477;0
0.0218127053;1.714912176;1.581681728;0.2000000477;0
0.0218335390;1.725471973;1.595321417;0.2000000477;0
0.0218543727;1.73573637;1.608687878;0.2000000477;0
0.0218752064;1.74570322;1.621778727;0.2000000477;0
0.0218960401;1.755371094;1.634592056;0.2000000477;0
0.0219168738;1.764738083;1.647125483;0.2000000477;0
0.0219377074;1.773802757;1.659376621;0.2000000477;0
0.0219585411;1.782563686;1.671343565;0.2000000477;0
0.0219793748;1.791018963;1.683024406;0.2000000477;0
0.0220002085;1.799167395;1.694417;0.2000000477;0
0.0220210422;1.807007313;1.705519438;0.2000000477;0
0.0220418759;1.814538002;1.716329575;0.2000000477;0
0.0220627096;1.821757555;1.726845503;0.2000000477;0
0.0220835432;1.828665018;1.737065554;0.2000000477;0
0.0221043769;1.835259199;1.746988058;0.2000000477;0
0.0221252106;1.841538668;1.756611347;0.2000000477;0
0.0221460443;1.847502947;1.765933514;0.2000000477;0
0.0221668780;1.853150368;1.774952888;0.2000000477;0
0.0221877117;1.858480453;1.783667803;0.2000000477;0
0.0222085454;1.863492012;1.792076826;0.2000000477;0
0.0222293790;1.868184328;1.800178528;0.2000000477;0
0.0222502127;1.872556448;1.807971716;0.2000000477;0
0.0222710464;1.876607895;1.815455198;0.2000000477;0
0.0222918801;1.880337715;1.822627544;0.2000000477;0
0.0223127138;1.883745193;1.829487324;0.2000000477;0
0.0223335475;1.886830091;1.836033583;0.2000000477;0
0.0223543812;1.889591694;1.842265368;0.2000000477;0
0.0223752148;1.892029285;1.848181725;0.2000000477;0
0.0223960485;1.894142866;1.8537817;0.2000000477;0
0.0224168822;1.895931959;1.859064341;0.2000000477;0
0.0224377159;1.897396088;1.864028692;0.2000000477;0
0.0224585496;1.898535252;1.868673801;0.2000000477;0
0.0224793833;1.899348974;1.872998953;0.2000000477;0
0.0225002170;1.899837255;1.877003193;0.2000000477;0
0.0225210506;1.900000095;1.880685806;0.2000000477;0
0.0225418843;1.899837255;1.884046316;0.2000000477;0
0.0225627180;1.899348974;1.887084007;0.2000000477;0
0.0225835517;1.898535252;1.889798403;0.2000000477;0
